Number of Vehicles	Accident Day	Time	1st Road Class	Road Surface	Lighting Conditions	Weather Conditions	Casualty Class	Sex of Casualty	Age of Casualty	Type of Vehicle	Casualty Severity
2	Sunday	1	A	Dry	Darkness: street lights present and lit	Fine without high winds	Driver or rider	Male	27	Car	Slight
2	Monday	4	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Male	29	Car	Slight
2	Monday	1	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Vehicle or pillion passenger	Female	30	Car	Slight
2	Monday	1	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Vehicle or pillion passenger	Female	6	Car	Slight
1	Monday	1	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Pedestrian	Female	14	Car	Serious
1	Monday	3	Unclassified	Dry	Darkness: street lights present and lit	Fine without high winds	Pedestrian	Female	26	Car	Slight
1	Tuesday	4	A	Dry	Daylight: street lights present	Fine without high winds	Pedestrian	Male	2	Goods vehicle 3.5 tonnes mgw and under	Slight
3	Tuesday	4	Unclassified	Dry	Daylight: street lights present	Unknown	Vehicle or pillion passenger	Female	23	Car	Slight
2	Tuesday	1	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Pedestrian	Female	25	Car	Slight
4	Tuesday	1	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Male	22	Motorcycle over 50cc and up to 125cc	Serious
2	Wednesday	4	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Male	38	Pedal cycle	Slight
2	Thursday	3	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Female	53	Pedal cycle	Serious
2	Thursday	1	B	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Male	21	Pedal cycle	Slight
2	Thursday	4	A	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Male	56	Pedal cycle	Slight
2	Thursday	3	B	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Male	49	Car	Slight
1	Thursday	2	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Pedestrian	Female	32	Car	Slight
1	Friday	3	A	Dry	Daylight: street lights present	Fine without high winds	Pedestrian	Male	75	Car	Slight
1	Friday	2	Unclassified	Dry	Daylight: street lights present	Unknown	Vehicle or pillion passenger	Male	4	Bus or coach (17 or more passenger seats)	Slight
2	Friday	4	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Male	21	Motorcycle over 50cc and up to 125cc	Slight
2	Friday	1	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Male	24	Pedal cycle	Slight
2	Friday	1	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Female	21	Pedal cycle	Serious
2	Thursday	1	A	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Female	27	Car	Slight
2	Thursday	2	A	Dry	Daylight: street lights present	Fine without high winds	Vehicle or pillion passenger	Male	5	Car	Slight
2	Saturday	4	A(M)	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Female	32	Car	Slight
2	Saturday	4	A	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Male	29	Car	Slight
2	Saturday	1	A	Dry	Daylight: street lights present	Fine without high winds	Vehicle or pillion passenger	Female	36	Car	Slight
2	Saturday	2	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Male	65	Pedal cycle	Slight
2	Saturday	2	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Vehicle or pillion passenger	Male	18	Car	Slight
2	Saturday	3	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Vehicle or pillion passenger	Female	1	Car	Slight
3	Saturday	3	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Male	30	Car	Slight
3	Saturday	4	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Vehicle or pillion passenger	Female	6	Car	Slight
1	Sunday	3	Unclassified	Wet / Damp	Daylight: street lights present	Fine without high winds	Pedestrian	Male	28	Car	Slight
2	Sunday	4	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Male	11	Pedal cycle	Slight
2	Sunday	4	B	Dry	Daylight: street lights present	Fine without high winds	Pedestrian	Male	37	Car	Serious
2	Sunday	4	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Female	30	Car	Slight
2	Sunday	2	A	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Male	52	Pedal cycle	Slight
2	Sunday	4	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Male	20	Motorcycle over 50cc and up to 125cc	Slight
1	Friday	1	Unclassified	Dry	Darkness: street lights present and lit	Fine without high winds	Vehicle or pillion passenger	Male	17	Car	Serious
3	Monday	3	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Male	81	Car	Slight
1	Monday	4	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Pedestrian	Female	8	Car	Serious
2	Monday	3	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Female	85	Car	Slight
2	Monday	2	A	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Male	35	Car	Slight
2	Monday	3	A	Dry	Daylight: street lights present	Fine without high winds	Vehicle or pillion passenger	Male	22	Car	Slight
3	Monday	2	Unclassified	Dry	Daylight: street lights present	Unknown	Driver or rider	Male	30	Car	Slight
2	Monday	1	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Male	62	Car	Slight
3	Monday	2	Motorway	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Male	36	Car	Slight
2	Monday	2	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Female	52	Pedal cycle	Serious
2	Monday	4	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Male	13	M/cycle 50cc and under	Serious
1	Monday	3	A	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Male	55	Motorcycle over 125cc and up to 500cc	Slight
2	Tuesday	3	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Male	25	Car	Slight
2	Tuesday	1	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Female	40	Car	Slight
2	Tuesday	2	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Vehicle or pillion passenger	Female	46	Car	Slight
6	Tuesday	2	A	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Male	45	Car	Slight
6	Tuesday	4	A	Dry	Daylight: street lights present	Fine without high winds	Vehicle or pillion passenger	Female	7	Car	Slight
2	Tuesday	2	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Male	35	Pedal cycle	Slight
2	Tuesday	1	A	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Male	41	Pedal cycle	Serious
2	Tuesday	4	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Male	23	Motorcycle over 50cc and up to 125cc	Slight
2	Tuesday	2	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Vehicle or pillion passenger	Female	58	Taxi/Private hire car	Slight
2	Tuesday	3	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Male	16	Pedal cycle	Serious
2	Wednesday	2	A	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Male	43	Car	Slight
1	Wednesday	3	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Male	55	Motorcycle over 50cc and up to 125cc	Slight
1	Wednesday	3	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Male	38	Motorcycle over 500cc	Serious
1	Wednesday	2	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Pedestrian	Male	14	Car	Slight
2	Wednesday	4	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Female	33	Car	Slight
1	Wednesday	4	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Pedestrian	Female	62	Car	Slight
2	Thursday	4	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Female	30	Car	Slight
1	Thursday	2	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Pedestrian	Male	75	Car	Serious
1	Thursday	4	A	Dry	Daylight: street lights present	Fine without high winds	Pedestrian	Male	80	Car	Serious
2	Thursday	1	A	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Male	51	Motorcycle over 50cc and up to 125cc	Serious
2	Thursday	2	A	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Male	39	Motorcycle over 500cc	Serious
1	Thursday	1	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Pedestrian	Male	31	Goods vehicle 7.5 tonnes mgw and over	Slight
1	Friday	2	Unclassified	Dry	Darkness: street lights present and lit	Fine without high winds	Vehicle or pillion passenger	Female	22	Bus or coach (17 or more passenger seats)	Slight
1	Friday	4	Unclassified	Dry	Darkness: street lights present and lit	Fine without high winds	Vehicle or pillion passenger	Female	49	Bus or coach (17 or more passenger seats)	Slight
1	Friday	1	Unclassified	Dry	Darkness: street lights present and lit	Fine without high winds	Vehicle or pillion passenger	Male	57	Bus or coach (17 or more passenger seats)	Slight
2	Friday	2	Unclassified	Wet / Damp	Daylight: street lights present	Raining without high winds	Driver or rider	Male	47	Car	Slight
2	Friday	2	Unclassified	Wet / Damp	Daylight: street lights present	Fine without high winds	Driver or rider	Male	15	Pedal cycle	Slight
2	Friday	1	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Male	40	Pedal cycle	Slight
1	Friday	4	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Pedestrian	Female	88	Car	Serious
3	Friday	3	Motorway	Wet / Damp	Daylight: street lights present	Fine without high winds	Vehicle or pillion passenger	Female	54	Car	Slight
2	Saturday	3	A	Dry	Daylight: street lights present	Fine without high winds	Vehicle or pillion passenger	Female	52	Car	Slight
2	Saturday	1	A	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Female	49	Car	Slight
2	Saturday	3	A	Dry	Daylight: street lights present	Fine without high winds	Vehicle or pillion passenger	Female	20	Car	Slight
2	Saturday	1	A	Dry	Daylight: street lights present	Fine without high winds	Vehicle or pillion passenger	Male	1	Car	Slight
1	Saturday	3	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Pedestrian	Male	5	Car	Slight
2	Saturday	3	Unclassified	Wet / Damp	Darkness: street lights present and lit	Raining without high winds	Driver or rider	Male	24	Motorcycle over 50cc and up to 125cc	Slight
1	Sunday	4	Unclassified	Wet / Damp	Daylight: street lights present	Fine without high winds	Driver or rider	Male	63	Pedal cycle	Serious
2	Sunday	3	A	Wet / Damp	Daylight: street lights present	Fine without high winds	Driver or rider	Female	23	Car	Slight
2	Monday	4	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Male	57	Car	Slight
2	Monday	3	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Vehicle or pillion passenger	Female	49	Car	Slight
1	Monday	1	Unclassified	Wet / Damp	Daylight: street lights present	Raining without high winds	Driver or rider	Male	30	Car	Slight
1	Monday	3	Unclassified	Wet / Damp	Daylight: street lights present	Fine without high winds	Pedestrian	Female	59	Car	Slight
2	Monday	1	Unclassified	Wet / Damp	Daylight: street lights present	Fine without high winds	Driver or rider	Female	30	Car	Slight
1	Monday	1	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Male	27	Car	Slight
2	Monday	4	Unclassified	Wet / Damp	Darkness: street lights present and lit	Raining without high winds	Driver or rider	Female	35	Car	Slight
2	Monday	2	Unclassified	Wet / Damp	Darkness: street lights present and lit	Raining without high winds	Vehicle or pillion passenger	Female	14	Car	Slight
2	Monday	4	Unclassified	Wet / Damp	Darkness: street lights present and lit	Raining without high winds	Vehicle or pillion passenger	Female	16	Car	Slight
2	Monday	3	Unclassified	Wet / Damp	Darkness: street lights present and lit	Raining without high winds	Vehicle or pillion passenger	Female	16	Car	Slight
1	Tuesday	3	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Vehicle or pillion passenger	Female	28	Bus or coach (17 or more passenger seats)	Slight
1	Tuesday	3	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Vehicle or pillion passenger	Female	30	Bus or coach (17 or more passenger seats)	Slight
1	Tuesday	3	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Vehicle or pillion passenger	Female	49	Bus or coach (17 or more passenger seats)	Slight
1	Tuesday	4	Unclassified	Dry	Daylight: street lights present	Unknown	Vehicle or pillion passenger	Female	27	Taxi/Private hire car	Slight
3	Wednesday	1	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Male	55	Car	Slight
2	Wednesday	2	A(M)	Wet / Damp	Daylight: street lights present	Raining without high winds	Driver or rider	Male	36	Goods vehicle 3.5 tonnes mgw and under	Serious
2	Wednesday	2	A	Wet / Damp	Daylight: street lights present	Raining without high winds	Driver or rider	Male	35	Pedal cycle	Slight
3	Wednesday	1	A	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Male	41	Motorcycle over 500cc	Slight
3	Wednesday	2	A	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Male	28	Motorcycle over 500cc	Slight
2	Wednesday	1	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Male	31	Pedal cycle	Slight
2	Wednesday	3	Unclassified	Dry	Daylight: street lights present	Unknown	Driver or rider	Female	25	Car	Slight
2	Wednesday	2	A	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Male	33	Goods vehicle 3.5 tonnes mgw and under	Slight
2	Wednesday	4	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Male	24	Pedal cycle	Slight
2	Wednesday	3	Unclassified	Dry	Daylight: street lights present	Unknown	Driver or rider	Male	47	Pedal cycle	Slight
1	Thursday	3	A	Dry	Daylight: street lights present	Fine without high winds	Pedestrian	Female	14	Car	Slight
1	Wednesday	3	A	Dry	Daylight: street lights present	Fine without high winds	Pedestrian	Female	24	Pedal cycle	Slight
1	Wednesday	1	A	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Male	21	Pedal cycle	Slight
2	Thursday	3	A	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Male	52	Car	Slight
2	Friday	4	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Vehicle or pillion passenger	Female	21	Taxi/Private hire car	Slight
2	Friday	4	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Vehicle or pillion passenger	Female	21	Taxi/Private hire car	Slight
2	Friday	2	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Male	36	Pedal cycle	Slight
2	Tuesday	1	Unclassified	Dry	Daylight: street lights present	Unknown	Driver or rider	Male	18	M/cycle 50cc and under	Slight
2	Friday	2	A	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Male	50	Car	Slight
2	Friday	1	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Female	24	Car	Slight
2	Friday	1	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Female	20	Car	Slight
2	Friday	2	Unclassified	Wet / Damp	Daylight: street lights present	Fine without high winds	Driver or rider	Male	28	Car	Slight
2	Friday	2	Unclassified	Dry	Darkness: street lighting unknown	Fine without high winds	Driver or rider	Male	51	Car	Slight
2	Friday	4	Unclassified	Dry	Darkness: street lighting unknown	Fine without high winds	Vehicle or pillion passenger	Female	43	Car	Serious
2	Friday	1	Unclassified	Wet / Damp	Daylight: street lights present	Fine without high winds	Driver or rider	Male	39	Taxi/Private hire car	Slight
2	Friday	3	Unclassified	Dry	Darkness: street lights present and lit	Fine without high winds	Vehicle or pillion passenger	Female	67	Taxi/Private hire car	Slight
2	Friday	2	Unclassified	Dry	Darkness: street lights present and lit	Fine without high winds	Vehicle or pillion passenger	Female	66	Taxi/Private hire car	Slight
1	Saturday	4	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Vehicle or pillion passenger	Male	26	Goods vehicle 3.5 tonnes mgw and under	Slight
1	Saturday	2	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Vehicle or pillion passenger	Male	25	Goods vehicle 3.5 tonnes mgw and under	Slight
1	Saturday	4	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Vehicle or pillion passenger	Male	24	Goods vehicle 3.5 tonnes mgw and under	Slight
2	Saturday	1	A	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Male	34	Motorcycle over 125cc and up to 500cc	Slight
2	Saturday	2	A	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Male	54	Pedal cycle	Slight
1	Saturday	4	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Pedestrian	Male	9	Car	Slight
1	Sunday	3	Motorway	Wet / Damp	Darkness: no street lighting	Fine without high winds	Driver or rider	Male	18	Car	Slight
1	Sunday	1	Motorway	Wet / Damp	Darkness: no street lighting	Fine without high winds	Vehicle or pillion passenger	Female	18	Car	Slight
1	Sunday	4	A	Dry	Daylight: street lights present	Unknown	Pedestrian	Female	23	Taxi/Private hire car	Slight
2	Sunday	4	A	Dry	Daylight: street lights present	Fine without high winds	Vehicle or pillion passenger	Female	38	Car	Slight
2	Sunday	2	A	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Male	64	Motorcycle over 500cc	Serious
2	Sunday	2	Unclassified	Wet / Damp	Daylight: street lights present	Raining without high winds	Driver or rider	Male	24	Car	Slight
2	Sunday	3	Unclassified	Wet / Damp	Daylight: street lights present	Raining without high winds	Vehicle or pillion passenger	Male	23	Car	Slight
2	Sunday	1	A	Wet / Damp	Daylight: street lights present	Raining without high winds	Driver or rider	Female	26	Car	Slight
2	Sunday	2	A	Wet / Damp	Daylight: street lights present	Raining without high winds	Driver or rider	Male	28	Car	Slight
2	Sunday	4	A	Wet / Damp	Daylight: street lights present	Raining without high winds	Vehicle or pillion passenger	Female	25	Car	Serious
1	Monday	4	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Pedestrian	Female	29	Taxi/Private hire car	Slight
2	Monday	2	A	Dry	Daylight: street lights present	Unknown	Driver or rider	Male	31	Motorcycle over 50cc and up to 125cc	Slight
1	Monday	1	A	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Male	29	M/cycle 50cc and under	Slight
1	Monday	3	A	Dry	Daylight: street lights present	Fine without high winds	Pedestrian	Female	9	Car	Serious
2	Monday	1	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Male	26	Motorcycle over 125cc and up to 500cc	Slight
1	Tuesday	3	B	Dry	Daylight: street lights present	Fine without high winds	Pedestrian	Male	11	Car	Slight
2	Tuesday	4	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Male	24	Motorcycle over 50cc and up to 125cc	Slight
2	Tuesday	2	Unclassified	Dry	Daylight: street lights present	Unknown	Driver or rider	Female	33	Car	Slight
2	Wednesday	1	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Male	45	Pedal cycle	Slight
1	Wednesday	2	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Pedestrian	Female	3	Car	Slight
2	Thursday	3	A	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Female	32	Pedal cycle	Slight
1	Thursday	2	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Male	81	Car	Slight
1	Thursday	4	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Male	66	Taxi/Private hire car	Slight
2	Thursday	2	A	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Male	38	Pedal cycle	Slight
3	Thursday	1	A	Dry	Daylight: street lights present	Unknown	Driver or rider	Male	20	Car	Slight
3	Thursday	2	A	Dry	Daylight: street lights present	Unknown	Vehicle or pillion passenger	Female	21	Car	Slight
2	Friday	3	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Male	29	Pedal cycle	Slight
2	Friday	4	A	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Male	15	M/cycle 50cc and under	Slight
2	Friday	4	A	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Male	15	Pedal cycle	Slight
1	Friday	3	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Male	14	Pedal cycle	Slight
1	Saturday	2	Unclassified	Dry	Darkness: street lights present and lit	Fine without high winds	Pedestrian	Female	21	Car	Serious
2	Saturday	4	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Vehicle or pillion passenger	Female	5	Car	Slight
2	Saturday	4	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Female	26	Car	Slight
1	Saturday	1	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Pedestrian	Female	3	Car	Slight
2	Saturday	2	A	Wet / Damp	Daylight: street lights present	Raining without high winds	Vehicle or pillion passenger	Female	57	Car	Slight
2	Saturday	2	A	Dry	Darkness: street lights present and lit	Fine without high winds	Vehicle or pillion passenger	Male	29	Car	Slight
1	Sunday	2	Unclassified	Dry	Darkness: street lights present and lit	Fine without high winds	Driver or rider	Male	18	Car	Serious
1	Sunday	2	Unclassified	Dry	Darkness: street lights present and lit	Fine without high winds	Vehicle or pillion passenger	Male	22	Car	Slight
4	Sunday	4	A	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Male	68	Car	Slight
4	Sunday	1	A	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Female	24	Car	Slight
1	Sunday	2	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Vehicle or pillion passenger	Male	17	Car	Slight
1	Sunday	2	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Pedestrian	Male	13	Car	Slight
1	Sunday	3	Unclassified	Wet / Damp	Daylight: street lights present	Raining without high winds	Pedestrian	Female	44	Car	Slight
2	Sunday	4	Unclassified	Wet / Damp	Darkness: street lights present and lit	Raining without high winds	Driver or rider	Male	22	M/cycle 50cc and under	Slight
2	Monday	1	B	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Male	48	Motorcycle over 125cc and up to 500cc	Slight
2	Tuesday	1	A	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Female	30	Car	Slight
2	Tuesday	3	A	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Male	46	Taxi/Private hire car	Slight
2	Monday	2	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Female	49	Car	Slight
2	Monday	2	A	Dry	Daylight: street lights present	Unknown	Driver or rider	Male	80	Car	Slight
2	Monday	3	A	Dry	Daylight: street lights present	Unknown	Driver or rider	Female	39	Goods vehicle 3.5 tonnes mgw and under	Slight
2	Monday	3	A	Dry	Daylight: street lights present	Unknown	Vehicle or pillion passenger	Male	4	Goods vehicle 3.5 tonnes mgw and under	Slight
2	Monday	4	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Male	18	Motorcycle over 50cc and up to 125cc	Serious
2	Monday	3	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Female	35	Car	Slight
2	Tuesday	4	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Vehicle or pillion passenger	Female	50	Goods vehicle 7.5 tonnes mgw and over	Slight
2	Tuesday	3	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Male	70	Other Vehicle 	Slight
2	Tuesday	3	Unclassified	Wet / Damp	Daylight: street lights present	Fine without high winds	Driver or rider	Male	14	Pedal cycle	Slight
2	Tuesday	1	Unclassified	Wet / Damp	Daylight: street lights present	Fine without high winds	Vehicle or pillion passenger	Male	14	Pedal cycle	Slight
2	Tuesday	1	A	Wet / Damp	Daylight: street lights present	Raining without high winds	Driver or rider	Male	29	Pedal cycle	Slight
3	Wednesday	2	A	Dry	Daylight: street lights present	Unknown	Driver or rider	Male	20	Car	Slight
3	Wednesday	3	A	Dry	Daylight: street lights present	Unknown	Vehicle or pillion passenger	Female	23	Car	Slight
3	Wednesday	4	A	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Male	36	Car	Slight
4	Wednesday	2	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Male	33	Car	Slight
2	Wednesday	3	A	Wet / Damp	Daylight: street lights present	Raining without high winds	Driver or rider	Male	19	Pedal cycle	Slight
2	Thursday	4	A	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Female	29	Car	Slight
2	Thursday	4	A	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Female	35	Car	Slight
2	Wednesday	2	A	Wet / Damp	Daylight: street lights present	Fine without high winds	Vehicle or pillion passenger	Female	30	Car	Slight
2	Friday	4	A	Dry	Darkness: street lights present and lit	Fine without high winds	Driver or rider	Male	34	Car	Slight
2	Friday	1	A	Dry	Darkness: street lights present and lit	Fine without high winds	Vehicle or pillion passenger	Male	48	Car	Slight
2	Friday	3	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Male	51	Pedal cycle	Slight
2	Friday	3	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Female	41	Pedal cycle	Slight
1	Friday	4	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Pedestrian	Male	36	Car	Slight
2	Sunday	3	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Vehicle or pillion passenger	Female	16	Car	Slight
1	Saturday	4	Unclassified	Wet / Damp	Daylight: street lights present	Fine without high winds	Pedestrian	Female	73	Car	Slight
2	Saturday	1	A	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Female	54	Car	Slight
2	Saturday	2	Motorway	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Female	51	Car	Slight
2	Saturday	1	Motorway	Dry	Daylight: street lights present	Fine without high winds	Vehicle or pillion passenger	Female	62	Car	Slight
1	Saturday	2	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Pedestrian	Male	51	Taxi/Private hire car	Slight
1	Saturday	3	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Pedestrian	Male	65	Car	Serious
1	Saturday	3	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Vehicle or pillion passenger	Female	70	Bus or coach (17 or more passenger seats)	Slight
1	Saturday	3	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Vehicle or pillion passenger	Female	50	Bus or coach (17 or more passenger seats)	Slight
1	Saturday	1	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Vehicle or pillion passenger	Male	47	Bus or coach (17 or more passenger seats)	Slight
1	Saturday	3	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Vehicle or pillion passenger	Female	51	Bus or coach (17 or more passenger seats)	Slight
2	Sunday	1	A	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Female	29	Pedal cycle	Slight
2	Sunday	4	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Male	32	Motorcycle over 50cc and up to 125cc	Serious
2	Sunday	4	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Male	64	Car	Slight
2	Sunday	1	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Vehicle or pillion passenger	Female	76	Car	Slight
2	Sunday	2	A	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Female	45	Car	Slight
2	Sunday	4	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Male	37	Mobility Scooter	Slight
2	Monday	3	A	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Male	28	Pedal cycle	Serious
3	Monday	2	A	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Female	53	Car	Slight
1	Monday	4	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Driver or rider	Male	21	Motorcycle over 50cc and up to 125cc	Slight
1	Monday	1	Unclassified	Dry	Daylight: street lights present	Fine without high winds	Pedestrian	Female	55	Motorcycle over 50cc and up to 125cc	Serious
2	Monday	1	A	Dry	Daylight: street lights present	Fine without high winds	Vehicle or pillion passenger	Female	33	Taxi/Private hire car	Slight
