V_count,A_Day,Road_Type,Road_Surface,Lighting_Conditions,Weather_Conditions,Casualty_Class,Sex_of_Casualty,Age_of_Casualty,Type_of_Vehicle,Casualty_Severity
4,Sunday,A,Wet / Damp,Daylight: street lights present,Fine with high winds,Vehicle or pillion passenger,Male,6,Car,Slight
2,Sunday,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Female,80,Car,Slight
2,Monday,Motorway,Wet / Damp,Daylight: street lights present,Fine without high winds,Vehicle or pillion passenger,Male,57,Motorcycle over 500cc,Slight
2,Monday,A,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver or rider,Male,36,Pedal cycle,Serious
1,Monday,Unclassified,Wet / Damp,Daylight: street lights present,Fine without high winds,Pedestrian,Female,49,Taxi/Private hire car,Slight
2,Monday,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Female,80,Car,Serious
4,Monday,A,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver or rider,Male,60,Car,Slight
2,Monday,Unclassified,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver or rider,Male,29,Motorcycle over 50cc and up to 125cc,Slight
2,Tuesday,A,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver or rider,Male,45,Pedal cycle,Serious
2,Tuesday,A,Dry,Darkness: street lights present and lit,Fine without high winds,Vehicle or pillion passenger,Female,50,Car,Slight
1,Thursday,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Male,47,Car,Slight
2,Wednesday,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Female,54,Car,Slight
2,Tuesday,A,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Male,51,Pedal cycle,Serious
1,Wednesday,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Male,11,Car,Slight
3,Wednesday,Motorway,Wet / Damp,Darkness: no street lighting,Fine without high winds,Driver or rider,Male,40,Car,Slight
3,Wednesday,Motorway,Wet / Damp,Darkness: no street lighting,Fine without high winds,Driver or rider,Male,22,Car,Slight
2,Wednesday,A,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Vehicle or pillion passenger,Male,20,Car,Serious
2,Wednesday,A,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Vehicle or pillion passenger,Male,20,Car,Slight
2,Wednesday,A,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Driver or rider,Male,33,Car,Slight
3,Thursday,Unclassified,Frost / Ice,Daylight: street lights present,Snowing with high winds,Driver or rider,Male,30,Car,Slight
3,Thursday,Unclassified,Frost / Ice,Daylight: street lights present,Snowing with high winds,Driver or rider,Female,35,Car,Slight
1,Wednesday,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Female,30,Car,Slight
1,Thursday,A,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Male,20,Car,Slight
2,Thursday,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Female,62,Car,Slight
1,Thursday,Unclassified,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver or rider,Male,36,Car,Slight
2,Thursday,A,Dry,Darkness: street lights present and lit,Fine without high winds,Driver or rider,Male,68,Car,Serious
2,Thursday,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Driver or rider,Male,23,Pedal cycle,Slight
2,Thursday,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Driver or rider,Male,27,Car,Slight
2,Thursday,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Vehicle or pillion passenger,Female,21,Car,Slight
2,Thursday,Unclassified,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver or rider,Male,52,Pedal cycle,Slight
1,Friday,Unclassified,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver or rider,Male,57,Pedal cycle,Slight
1,Friday,Unclassified,Wet / Damp,Daylight: street lights present,Fine without high winds,Pedestrian,Male,26,Pedal cycle,Slight
1,Friday,Unclassified,Frost / Ice,Darkness: street lights present and lit,Fine without high winds,Driver or rider,Female,17,M/cycle 50cc and under,Slight
2,Friday,B,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Driver or rider,Female,31,Car,Slight
2,Friday,Unclassified,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver or rider,Male,37,Car,Slight
2,Friday,Unclassified,Wet / Damp,Daylight: street lights present,Raining without high winds,Vehicle or pillion passenger,Female,26,Car,Serious
2,Friday,Unclassified,Wet / Damp,Daylight: street lights present,Raining without high winds,Vehicle or pillion passenger,Male,7,Car,Slight
2,Friday,Unclassified,Wet / Damp,Daylight: street lights present,Raining without high winds,Vehicle or pillion passenger,Male,7,Car,Slight
1,Saturday,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Female,23,Car,Slight
2,Saturday,A,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver or rider,Male,28,Car,Slight
2,Saturday,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Female,84,Mobility Scooter,Slight
2,Saturday,A,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Male,47,Car,Slight
2,Saturday,A,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Male,41,Car,Slight
2,Saturday,A,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver or rider,Female,53,Car,Slight
1,Saturday,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Vehicle or pillion passenger,Male,11,Bus or coach (17 or more passenger seats),Serious
1,Saturday,Unclassified,Snow,Darkness: street lights present and lit,Snowing without high winds,Driver or rider,Male,19,M/cycle 50cc and under,Slight
2,Monday,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Driver or rider,Male,26,Pedal cycle,Slight
2,Monday,Motorway,Dry,Darkness: street lights present and lit,Fine without high winds,Driver or rider,Female,48,Car,Slight
2,Monday,Unclassified,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver or rider,Female,58,Car,Serious
2,Monday,A,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver or rider,Female,40,Pedal cycle,Serious
2,Monday,Unclassified,Wet / Damp,Darkness: street lights present and lit,Other,Driver or rider,Male,49,Pedal cycle,Slight
2,Monday,Unclassified,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver or rider,Female,26,Car,Slight
2,Monday,Unclassified,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Vehicle or pillion passenger,Female,14,Car,Slight
2,Tuesday,Unclassified,Wet / Damp,Daylight: street lights present,Unknown,Pedestrian,Male,17,Car,Slight
1,Tuesday,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Female,42,Car,Serious
1,Tuesday,Unclassified,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Female,12,Car,Slight
2,Tuesday,A,Dry,Darkness: street lights present and lit,Fine without high winds,Driver or rider,Male,27,Car,Slight
2,Tuesday,A,Dry,Darkness: street lights present and lit,Fine without high winds,Vehicle or pillion passenger,Male,31,Car,Slight
2,Tuesday,A,Dry,Darkness: street lights present and lit,Fine without high winds,Vehicle or pillion passenger,Male,29,Car,Slight
2,Tuesday,A,Dry,Darkness: street lights present and lit,Fine without high winds,Vehicle or pillion passenger,Male,28,Car,Slight
2,Wednesday,Unclassified,Dry,Darkness: street lights present and lit,Unknown,Driver or rider,Female,40,Pedal cycle,Slight
2,Wednesday,B,Dry,Daylight: street lights present,Unknown,Driver or rider,Male,32,Pedal cycle,Slight
2,Wednesday,Unclassified,Wet / Damp,Darkness: no street lighting,Fine without high winds,Driver or rider,Male,47,Car,Slight
2,Wednesday,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Vehicle or pillion passenger,Male,33,Car,Slight
1,Wednesday,Unclassified,Wet / Damp,Daylight: street lights present,Raining without high winds,Pedestrian,Female,15,Car,Slight
1,Wednesday,Unclassified,Wet / Damp,Darkness: street lights present and lit,Other,Driver or rider,Male,25,Car,Slight
2,Wednesday,Unclassified,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver or rider,Female,27,Car,Slight
1,Thursday,Unclassified,Frost / Ice,Daylight: street lights present,Fine without high winds,Driver or rider,Male,16,M/cycle 50cc and under,Slight
1,Thursday,Unclassified,Frost / Ice,Daylight: street lights present,Fine without high winds,Pedestrian,Female,52,Car,Slight
1,Thursday,Unclassified,Frost / Ice,Daylight: street lights present,Fine without high winds,Pedestrian,Male,33,Car,Slight
2,Thursday,A,Wet / Damp,Daylight: street lights present,Unknown,Driver or rider,Male,62,Car,Slight
1,Thursday,Unclassified,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Pedestrian,Male,12,Car,Slight
1,Thursday,Unclassified,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Pedestrian,Male,43,Car,Slight
2,Thursday,Unclassified,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Driver or rider,Male,22,Car,Serious
2,Thursday,A,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver or rider,Female,64,Car,Slight
2,Thursday,A,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Vehicle or pillion passenger,Female,15,Car,Slight
2,Friday,B,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver or rider,Female,51,Car,Slight
1,Friday,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Male,10,Car,Slight
2,Friday,Unclassified,Wet / Damp,Darkness: street lights present and lit,Unknown,Driver or rider,Male,21,Pedal cycle,Slight
2,Friday,A,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver or rider,Male,15,Pedal cycle,Slight
2,Saturday,A,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Driver or rider,Female,25,Car,Slight
2,Saturday,A,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Vehicle or pillion passenger,Male,21,Car,Slight
2,Saturday,A,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Driver or rider,Male,33,Car,Slight
1,Saturday,Unclassified,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Male,42,Car,Serious
1,Saturday,A,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Vehicle or pillion passenger,Male,25,Car,Serious
2,Saturday,A,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver or rider,Male,31,Car,Slight
3,Sunday,A,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver or rider,Male,63,Car,Slight
2,Sunday,Unclassified,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver or rider,Male,40,Pedal cycle,Slight
1,Monday,B,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Female,27,Car,Slight
2,Monday,A,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Female,63,Car,Slight
2,Monday,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Vehicle or pillion passenger,Male,20,Car,Slight
2,Monday,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Female,66,Car,Slight
1,Tuesday,Unclassified,Wet / Damp,Daylight: street lights present,Raining without high winds,Pedestrian,Male,28,Car,Slight
1,Tuesday,Unclassified,Dry,Daylight: street lights present,Unknown,Pedestrian,Male,21,Car,Slight
2,Tuesday,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Driver or rider,Female,59,Car,Slight
1,Tuesday,Unclassified,Wet / Damp,Daylight: street lights present,Fine without high winds,Vehicle or pillion passenger,Female,46,Bus or coach (17 or more passenger seats),Slight
2,Tuesday,Unclassified,Dry,Daylight: street lights present,Unknown,Vehicle or pillion passenger,Female,19,Car,Slight
2,Tuesday,Unclassified,Dry,Daylight: street lights present,Unknown,Vehicle or pillion passenger,Male,19,Car,Slight
2,Tuesday,Unclassified,Dry,Daylight: street lights present,Unknown,Vehicle or pillion passenger,Female,19,Car,Slight
2,Wednesday,Unclassified,Dry,Daylight: street lights present,Unknown,Vehicle or pillion passenger,Female,43,Car,Slight
2,Wednesday,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Male,40,Car,Slight
2,Wednesday,Motorway,Dry,Darkness: street lights present and lit,Fine without high winds,Driver or rider,Female,28,Car,Slight
2,Thursday,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Driver or rider,Male,41,Pedal cycle,Serious
2,Thursday,Unclassified,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver or rider,Male,50,Pedal cycle,Slight
1,Friday,Unclassified,Dry,Darkness: street lights present and lit,Unknown,Pedestrian,Female,14,Car,Slight
2,Thursday,A,Wet / Damp,Darkness: street lights present and lit,Raining with high winds,Driver or rider,Male,48,Car,Slight
2,Thursday,A,Wet / Damp,Darkness: street lights present and lit,Raining with high winds,Vehicle or pillion passenger,Female,36,Car,Slight
1,Thursday,B,Dry,Darkness: street lights present and lit,Unknown,Pedestrian,Female,30,Car,Serious
2,Thursday,A,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver or rider,Male,21,Pedal cycle,Slight
2,Thursday,Unclassified,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Driver or rider,Female,43,Pedal cycle,Slight
2,Friday,A,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver or rider,Male,60,Car,Slight
1,Thursday,Unclassified,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Male,20,Taxi/Private hire car,Slight
2,Friday,Unclassified,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver or rider,Male,18,M/cycle 50cc and under,Slight
3,Friday,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Driver or rider,Female,22,Car,Slight
1,Friday,Unclassified,Dry,Darkness: street lights present and lit,Unknown,Driver or rider,Male,26,Motorcycle over 50cc and up to 125cc,Slight
2,Thursday,B,Dry,Darkness: street lights present and lit,Unknown,Driver or rider,Male,47,Pedal cycle,Slight
1,Friday,A,Wet / Damp,Daylight: street lights present,Fine without high winds,Pedestrian,Female,22,Taxi/Private hire car,Slight
2,Friday,Unclassified,Wet / Damp,Daylight: street lights present,Raining with high winds,Driver or rider,Female,29,Car,Slight
2,Friday,A,Wet / Damp,Daylight: street lights present,Fine with high winds,Driver or rider,Female,38,Car,Slight
1,Wednesday,Unclassified,Dry,Daylight: street lights present,Unknown,Pedestrian,Male,26,Car,Slight
2,Friday,Unclassified,Dry,Daylight: street lights present,Fine with high winds,Driver or rider,Male,21,Pedal cycle,Slight
4,Friday,A(M),Wet / Damp,Darkness: no street lighting,Fine without high winds,Driver or rider,Female,25,Car,Slight
4,Friday,A(M),Wet / Damp,Darkness: no street lighting,Fine without high winds,Driver or rider,Male,41,Car,Slight
4,Friday,A(M),Wet / Damp,Darkness: no street lighting,Fine without high winds,Driver or rider,Male,23,Car,Slight
4,Friday,A(M),Wet / Damp,Darkness: no street lighting,Fine without high winds,Driver or rider,Female,24,Car,Slight
2,Friday,Unclassified,Dry,Darkness: street lights present and lit,Unknown,Driver or rider,Male,24,Pedal cycle,Slight
1,Friday,Unclassified,Dry,Darkness: street lights present and lit,Fine with high winds,Pedestrian,Male,70,Car,Slight
2,Friday,B,Dry,Darkness: street lights present and lit,Unknown,Driver or rider,Male,33,Taxi/Private hire car,Slight
1,Saturday,B,Dry,Darkness: street lighting unknown,Unknown,Driver or rider,Male,35,Goods vehicle 3.5 tonnes mgw and under,Serious
1,Saturday,B,Wet / Damp,Daylight: street lights present,Fine without high winds,Pedestrian,Female,81,Car,Slight
2,Saturday,A,Wet / Damp,Daylight: street lights present,Snowing with high winds,Driver or rider,Male,33,Pedal cycle,Slight
1,Saturday,Motorway,Wet / Damp,Darkness: street lights present and lit,Snowing without high winds,Driver or rider,Male,48,Car,Slight
2,Sunday,Unclassified,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver or rider,Female,37,Car,Slight
2,Sunday,Unclassified,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver or rider,Male,28,Car,Slight
2,Sunday,Unclassified,Wet / Damp,Daylight: street lights present,Fine without high winds,Vehicle or pillion passenger,Female,20,Car,Slight
2,Sunday,Unclassified,Wet / Damp,Daylight: street lights present,Fine without high winds,Vehicle or pillion passenger,Female,7,Car,Slight
2,Sunday,Unclassified,Wet / Damp,Daylight: street lights present,Fine without high winds,Vehicle or pillion passenger,Male,6,Car,Slight
1,Sunday,Unclassified,Wet / Damp,Daylight: street lights present,Fine without high winds,Pedestrian,Male,28,Car,Slight
2,Sunday,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Male,41,Pedal cycle,Slight
1,Sunday,A,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver or rider,Male,64,Car,Slight
1,Sunday,Unclassified,Dry,Daylight: street lights present,Fine with high winds,Pedestrian,Male,20,Taxi/Private hire car,Slight
2,Monday,Unclassified,Wet / Damp,Darkness: street lights present and lit,Fine with high winds,Driver or rider,Male,34,Car,Slight
2,Friday,A,Dry,Darkness: street lights present and lit,Unknown,Driver or rider,Female,23,Car,Slight
1,Monday,Unclassified,Wet / Damp,Daylight: street lights present,Fine without high winds,Pedestrian,Male,28,Car,Slight
3,Monday,Unclassified,Dry,Daylight: street lights present,Fine with high winds,Driver or rider,Female,52,Car,Slight
3,Monday,Unclassified,Dry,Daylight: street lights present,Fine with high winds,Driver or rider,Female,66,Car,Slight
1,Monday,Unclassified,Dry,Daylight: street lights present,Fine with high winds,Pedestrian,Female,85,Car,Slight
2,Monday,Unclassified,Dry,Daylight: street lights present,Unknown,Vehicle or pillion passenger,Male,6,Car,Slight
2,Monday,Unclassified,Dry,Daylight: street lights present,Unknown,Vehicle or pillion passenger,Female,9,Car,Slight
2,Monday,Unclassified,Dry,Daylight: street lights present,Unknown,Vehicle or pillion passenger,Female,10,Car,Slight
1,Monday,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Female,26,Goods vehicle 3.5 tonnes mgw and under,Slight
2,Tuesday,Motorway,Dry,Daylight: street lights present,Fine with high winds,Driver or rider,Male,31,Car,Slight
2,Tuesday,Motorway,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Female,73,Car,Slight
2,Tuesday,A,Wet / Damp,Darkness: street lights present and lit,Unknown,Driver or rider,Male,41,Pedal cycle,Slight
2,Tuesday,Unclassified,Wet / Damp,Darkness: street lights present and lit,Other,Driver or rider,Male,24,Motorcycle over 125cc and up to 500cc,Slight
2,Wednesday,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Vehicle or pillion passenger,Female,28,Car,Slight
2,Wednesday,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Male,48,Car,Slight
3,Wednesday,A,Dry,Daylight: street lights present,Fine without high winds,Vehicle or pillion passenger,Female,47,Car,Slight
1,Wednesday,A,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Female,24,Car,Slight
1,Wednesday,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Female,86,Car,Serious
3,Wednesday,A,Dry,Daylight: street lights present,Unknown,Driver or rider,Female,80,Car,Slight
3,Wednesday,A,Dry,Daylight: street lights present,Unknown,Vehicle or pillion passenger,Female,83,Car,Serious
3,Wednesday,A,Dry,Daylight: street lights present,Unknown,Driver or rider,Male,42,Car,Slight
2,Wednesday,Unclassified,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver or rider,Male,24,Pedal cycle,Serious
