V_count,A_Day,A_Time,Road_Type,Road_Surface,Lighting_Conditions,Weather_Conditions,Casualty_Class,Sex_of_Casualty,Age_of_Casualty,Type_of_Vehicle,Casualty_Severity
2,1,2,4,0,4,1,1,0,49,1,1
2,4,2,4,0,4,1,1,1,59,8,1
2,1,4,0,0,4,1,0,1,34,9,0
1,0,1,0,0,3,5,3,1,15,1,0
4,2,1,0,0,4,1,1,1,20,8,0
1,3,2,4,0,4,1,3,0,8,2,0
2,3,3,0,3,3,1,1,1,79,1,0
3,1,2,0,0,4,1,1,1,28,1,1
2,2,1,4,0,4,1,4,0,65,1,1
1,4,2,2,0,3,1,1,1,18,1,1
2,0,3,4,0,4,8,1,1,21,1,1
2,6,3,0,0,4,1,1,1,50,12,1
2,2,3,4,0,4,1,1,0,55,1,1
2,4,3,0,3,4,1,1,1,21,12,1
2,5,1,0,0,4,1,4,1,6,1,1
2,6,2,0,0,4,1,2,0,61,1,0
2,6,3,0,3,3,5,1,1,33,1,1
2,3,4,4,0,4,1,1,1,32,10,0
1,4,3,3,0,4,1,0,0,66,11,0
2,0,2,4,1,4,7,4,1,2,1,1
2,2,1,4,3,3,2,1,1,45,12,0
2,5,4,2,0,2,1,3,0,37,1,0
2,5,2,3,0,4,1,1,0,73,1,1
1,2,2,4,2,3,7,1,1,19,5,1
1,2,3,4,0,4,1,3,1,5,1,1
1,1,1,4,0,4,1,3,0,9,2,0
2,6,3,0,0,4,1,1,1,36,1,0
2,4,3,0,3,3,4,1,1,48,1,1
2,1,1,4,3,4,5,1,1,26,12,0
2,0,2,0,0,4,1,1,1,33,12,0
2,3,4,0,3,3,5,4,1,8,1,1
2,3,4,3,0,3,1,4,0,5,1,1
1,2,4,3,0,4,1,4,0,9,1,0
2,5,4,0,0,3,8,1,0,71,1,1
1,4,2,4,3,4,5,3,1,15,1,0
2,1,4,3,0,4,1,1,1,31,1,1
2,6,3,0,0,3,1,1,1,20,5,0
2,6,3,4,0,4,1,4,1,35,1,1
1,6,2,4,3,2,5,3,0,49,1,1
1,6,1,0,0,4,1,1,1,21,12,1
2,1,3,0,0,4,1,4,1,22,1,1
3,1,4,4,0,4,0,1,0,66,1,1
2,6,2,4,3,3,1,1,1,44,10,0
2,3,3,0,0,4,1,1,1,29,12,1
4,0,1,1,3,4,1,1,1,47,1,1
6,0,3,1,0,4,1,4,0,79,1,1
2,6,3,4,0,4,1,1,0,17,1,1
2,0,3,3,0,2,1,0,1,84,1,0
1,6,3,4,3,3,8,3,1,17,2,1
2,0,4,4,3,3,8,1,1,21,12,1
2,4,4,0,3,4,1,1,1,46,0,1
3,6,3,3,3,1,1,1,1,22,1,1
1,0,3,4,3,4,1,3,1,78,3,0
2,3,2,4,0,4,1,4,1,9,1,1
3,3,1,0,3,4,1,1,1,63,1,1
1,6,4,4,3,3,1,3,0,13,1,0
1,2,3,4,0,4,1,4,0,70,0,1
